County_FIPS_Code,County,land_area_sqkm,PM25_Annual_Mean_2024,n_sites,Population_2020_Census,has_monitor,population_density_per_sqkm
55001,Adams,1672.216056,,0,,False,
55003,Ashland,2706.476265,4.697527,1,16027.0,True,5.921721984877633
55005,Barron,2235.266753,,0,,False,
55007,Bayfield,3827.675487,,0,,False,
55009,Brown,1372.93317,6.135246,1,268740.0,True,195.74150138713597
55011,Buffalo,1750.289306,,0,,False,
55013,Burnett,2127.832846,,0,,False,
55015,Calumet,824.344287,,0,,False,
55017,Chippewa,2611.62848,,0,,False,
55019,Clark,3133.097725,,0,,False,
55021,Columbia,1982.756265,,0,,False,
55023,Crawford,1477.97089,,0,,False,
55025,Dane,3098.882969,6.434959,2,561504.0,True,181.19561326357402
55027,Dodge,2268.044939,5.394867,1,89396.0,True,39.415444757199324
55029,Door,1248.277426,,0,,False,
55031,Douglas,3378.102279,,0,,False,
55033,Dunn,2201.905281,,0,,False,
55035,Eau Claire,1652.21128,6.448328,1,105710.0,True,63.980921374656155
55037,Florence,1264.232458,,0,,False,
55039,Fond du Lac,1863.667187,,0,,False,
55041,Forest,2626.878506,4.722958,1,9179.0,True,3.494261336805045
55043,Grant,2970.40218,7.346175,1,51938.0,True,17.48517434767032
55045,Green,1512.667089,,0,,False,
55047,Green Lake,905.314776,,0,,False,
55049,Iowa,1975.379914,,0,,False,
55051,Iron,1963.751253,,0,,False,
55053,Jackson,2558.687761,5.677617,1,21145.0,True,8.264001697391947
55055,Jefferson,1441.30609,,0,,False,
55057,Juneau,1986.729546,,0,,False,
55059,Kenosha,704.075246,5.972404,1,169151.0,True,240.24562851908587
55061,Kewaunee,886.951818,,0,,False,
55063,La Crosse,1170.076618,,0,,False,
55065,Lafayette,1640.985427,,0,,False,
55067,Langlade,2255.098198,,0,,False,
55069,Lincoln,2275.832611,,0,,False,
55071,Manitowoc,1526.291643,,0,,False,
55073,Marathon,4001.992795,5.492896,1,138013.0,True,34.48606908349019
55075,Marinette,3624.599219,,0,,False,
55077,Marquette,1180.288193,,0,,False,
55078,Menominee,926.217566,,0,,False,
55079,Milwaukee,625.435232,7.037637,2,939489.0,True,1502.1363555035543
55081,Monroe,2333.329706,4.546407,1,46274.0,True,19.83174511557862
55083,Oconto,2583.464365,,0,,False,
55085,Oneida,2885.097073,,0,,False,
55087,Outagamie,1651.320404,6.106887,1,190705.0,True,115.48637050572046
55089,Ozaukee,603.514427,5.109836,1,91503.0,True,151.6169223242115
55091,Pepin,600.894494,,0,,False,
55093,Pierce,1486.700515,,0,,False,
55095,Polk,2368.077716,,0,,False,
55097,Portage,2074.258117,,0,,False,
55099,Price,3247.987842,,0,,False,
55101,Racine,861.403264,,0,,False,
55103,Richland,1518.120262,,0,,False,
55105,Rock,1859.985958,,0,,False,
55107,Rusk,2366.092053,,0,,False,
55109,St. Croix,1871.147432,,0,,False,
55111,Sauk,2153.685971,5.60082,1,65763.0,True,30.535092341928063
55113,Sawyer,3257.235817,,0,,False,
55115,Shawano,2313.441748,,0,,False,
55117,Sheboygan,1324.851059,,0,,False,
55119,Taylor,2525.371159,,0,,False,
55121,Trempealeau,1898.472769,,0,,False,
55123,Vernon,2050.135745,,0,,False,
55125,Vilas,2221.451557,,0,,False,
55127,Walworth,1438.529014,,0,,False,
55129,Washburn,2064.51599,,0,,False,
55131,Washington,1115.362196,,0,,False,
55133,Waukesha,1423.770516,6.970588,1,406978.0,True,285.8452225456816
55135,Waupaca,1936.517513,,0,,False,
55137,Waushara,1621.751247,,0,,False,
55139,Winnebago,1125.859768,,0,,False,
55141,Wood,2053.901351,,0,,False,
