County_FIPS_Code,County,PM25_Annual_Mean_2024,Population_2020_Census,land_area_sqkm,population_density_per_sqkm,log_population_density
55003,Ashland,4.697527,16027.0,2706.476265,5.921721984877633,1.778627282423668
55009,Brown,6.135246,268740.0,1372.93317,195.74150138713597,5.276794918281611
55025,Dane,6.434959,561504.0,3098.882969,181.19561326357402,5.199577183953654
55027,Dodge,5.394867,89396.0,2268.044939,39.415444757199324,3.674157738406075
55035,Eau Claire,6.448328,105710.0,1652.21128,63.980921374656155,4.158584935396988
55041,Forest,4.722958,9179.0,2626.878506,3.494261336805045,1.2511220047948854
55043,Grant,7.346175,51938.0,2970.40218,17.48517434767032,2.8613533417364483
55053,Jackson,5.677617,21145.0,2558.687761,8.264001697391947,2.111908937213244
55059,Kenosha,5.972404,169151.0,704.075246,240.24562851908587,5.48166185213475
55073,Marathon,5.492896,138013.0,4001.992795,34.48606908349019,3.540555447808845
55079,Milwaukee,7.037637,939489.0,625.435232,1502.1363555035543,7.314643610829123
55081,Monroe,4.546407,46274.0,2333.329706,19.83174511557862,2.9872839424709237
55087,Outagamie,6.106887,190705.0,1651.320404,115.48637050572046,4.749152518719319
55089,Ozaukee,5.109836,91503.0,603.514427,151.6169223242115,5.021357091808575
55111,Sauk,5.60082,65763.0,2153.685971,30.535092341928063,3.4188765908044068
55133,Waukesha,6.970588,406978.0,1423.770516,285.8452225456816,5.655450484418947
